epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,6574.85,0.6043,0.73007,0.00948,0.86836,0.84754,0.92665,0.8154,0.50008,0.55424,0.01103,0.000742625,0.000742625,0.000742625
43,6728.93,0.60997,0.74009,0.01012,0.85028,0.88285,0.92554,0.8147,0.5057,0.52435,0.01169,0.00073025,0.00073025,0.00073025
44,6887.38,0.62587,0.75007,0.01032,0.87237,0.87023,0.93811,0.83972,0.4787,0.46684,0.01099,0.000717875,0.000717875,0.000717875
45,7054.33,0.60375,0.72269,0.00996,0.81912,0.85403,0.90338,0.80824,0.47234,0.5943,0.01083,0.0007055,0.0007055,0.0007055
46,7209.99,0.59383,0.69549,0.0098,0.89897,0.86309,0.92872,0.81424,0.5358,0.51697,0.0127,0.000693125,0.000693125,0.000693125
47,7371.21,0.59039,0.6986,0.00971,0.84159,0.8168,0.89054,0.79323,0.47268,0.5708,0.01076,0.00068075,0.00068075,0.00068075
48,7527.77,0.58851,0.71884,0.00942,0.78462,0.83483,0.84527,0.74986,0.49333,0.68825,0.01128,0.000668375,0.000668375,0.000668375
49,7682.79,0.58399,0.69595,0.00957,0.85809,0.84154,0.92237,0.81507,0.47424,0.52956,0.01043,0.000656,0.000656,0.000656
50,7829.24,0.59179,0.67691,0.00996,0.85555,0.82196,0.88243,0.77809,0.47217,0.57084,0.01084,0.000643625,0.000643625,0.000643625
51,7973.35,0.5925,0.66418,0.00904,0.83258,0.87447,0.91375,0.81642,0.46797,0.565,0.01094,0.00063125,0.00063125,0.00063125
52,8117.17,0.58784,0.65734,0.00931,0.84463,0.84845,0.91618,0.8129,0.44567,0.50294,0.01015,0.000618875,0.000618875,0.000618875
53,8261.46,0.53057,0.6348,0.00852,0.84249,0.89676,0.92662,0.82865,0.43388,0.49203,0.0096,0.0006065,0.0006065,0.0006065
54,8407.96,0.56964,0.64786,0.00931,0.8369,0.87329,0.92278,0.81768,0.46203,0.52337,0.01053,0.000594125,0.000594125,0.000594125
55,8555.82,0.55895,0.64824,0.00882,0.8893,0.88694,0.93695,0.83183,0.45272,0.49247,0.01007,0.00058175,0.00058175,0.00058175
56,8704.15,0.54305,0.59637,0.00899,0.88041,0.88595,0.93694,0.83404,0.46873,0.46466,0.01057,0.000569375,0.000569375,0.000569375
57,8852.96,0.59031,0.63573,0.00973,0.87493,0.87851,0.93874,0.8367,0.467,0.45587,0.01075,0.000557,0.000557,0.000557
58,9001.39,0.56001,0.62281,0.00901,0.89655,0.90191,0.94343,0.8381,0.46028,0.47822,0.01066,0.000544625,0.000544625,0.000544625
59,9149.69,0.57988,0.63737,0.00959,0.87793,0.89972,0.93643,0.83033,0.44545,0.55301,0.00992,0.00053225,0.00053225,0.00053225
